ID,First Name,Last Name,Full Name,Credentials,Specialties,Languages,Locations,Has Photo,Slug
1519,Alberto,Sandoval,Alberto Sandoval,FNP,Family Medicine,English; Spanish,CMC Channel; CMC St. Mary,N,alberto-sandoval
1478,Alexandra,Jackson,Alexandra Jackson,LCSW,Behavioral Health,English,CMC E. March Lane - CareToday,Y,alexandra-jackson
3554,Amanda,Panh,Amanda Panh,MD,Internal Medicine,English,CMC East Main,Y,amanda-panh
1553,Amy,Patrick,Amy Patrick,PA,Family Medicine,English,CMC E. March Lane - Primary Care,Y,amy-patrick
1505,Andrea,Childers,Andrea Childers,DDS,General Dentistry,English,CMC Vacaville Dental,Y,andrea-childers
1528,Angela,Cheung,Angela  Cheung,PA,Family Medicine,English,CMC Gleason House,Y,angela-cheung
1492,Angie,Main,Angie Main,LCSW,Behavioral Health,English; Spanish,CMC Lodi Turner; CMC Manteca; CMC Tracy Central; CMC Waterloo,N,angie-main
1525,Anil,Andani,Anil Andani,MD,Family Medicine,English,CMC Lodi East,Y,anil-andani
1620,Annie,Thor,Annie Thor,CNM,Women's Health,English; Hmong,CMC Waterloo,Y,annie-thor
3556,Aparna,Yadatore,Aparna Yadatore,MD,Pediatrics,English; Hindi; Kannada; Tamil,CMC Manteca,Y,aparna-yadatore
1619,Ashley,Rasa,Ashley Rasa,NP,Women's Health,English; Spanish,CMC Vacaville,Y,ashley-rasa
1572,Aziz,Khambati,Aziz Khambati,MD,Internal Medicine,English; Gujarati; Urdu,CMC Channel,Y,aziz-khambati
1543,Benjamin,Morrison,Benjamin Morrison,MD,Family Medicine,English,CMC Waterloo,Y,benjamin-morrison
1482,Bilkese,Nangyalai,Bilkese Nangyalai,ASW,Behavioral Health,English; Hindi,CMC Tracy; CMC Tracy Grant Line,Y,bilkese-nangyalai
1489,Candace,Teska,Candace Teska,LCSW,Behavioral Health,English; Spanish,CMC Vacaville,Y,candace-teska
1496,Caroline,Dornbush,Caroline Dornbush,,Dental Hygiene,English,,N,caroline-dornbush
1514,Casey,Wu,Casey Wu,DMD,General Dentistry,English; Mandarin,CMC Waterloo; CMC Weberstown Medical,Y,casey-wu
1582,Catherine,Mathis,Catherine  Mathis,MD,OB/GYN,English,CMC E. March Lane - Primary Care; CMC Mariposa,Y,catherine-mathis
1617,Catherine,Davis,Catherine Davis,NP,Women's Health,English; Spanish,CMC Lodi,Y,catherine-davis
1599,Cesar,Pabustan,Cesar Pabustan,MD,Pediatrics,English; Spanish; Tagalog,CMC California Street Pediatrics,Y,cesar-pabustan
3261,Christian,Labau,"Christian Labau, DC",DC,Chiropractic,,CMC Lodi East,Y,christian-labau-dc
1583,Christy,Peterson,Christy Henderson-Peterson,NP,OB/GYN,English,CMC West Lane,Y,christy-peterson
1602,Daksha,Vaid,Daksha Vaid,MD,Pediatrics,English; Gujarati; Hindi; Punjabi,CMC Weberstown Medical,Y,daksha-vaid
1504,Daniel,Cheng,Daniel Cheng,DDS,General Dentistry,English,CMC Waterloo; CMC Weberstown Medical,Y,daniel-cheng
3558,David,Araiza,David Araiza,MD,Family Medicine,English; Spanish,CMC Gleason House; CMC St. Mary,Y,david-araiza
1536,David,Graham,David Graham,NP,Family Medicine,English,CMC Waterloo,Y,david-graham
1596,Davina,Menezes,Davina Menezes,MD,Pediatrics,English; Hindi; Konkani; Portuguese: some Spanish,CMC Channel,Y,davina-menezes
1532,Deepthy,Damien,Deepthy Damien,MD,Family Medicine,English; Hindi; Malayalam,CMC Tracy Grant Line,Y,deepthy-damien
1481,Denise,Mendez,Denise  Mendez,ASW,Behavioral Health,English,CMC Tracy,N,denise-mendez
1495,Denise,Watson,Denise Watson,DC,Chiropractic,English,CMC Vacaville,Y,denise-watson
1589,Diana,Enrile,Diana Enrile,MD,Pediatrics,English; Spanish,CMC California Street; CMC Sutter Street,N,diana-enrile
1616,Dikshya,Aryal,Dikshya  Aryal,CNM,Women's Health,English; Hindi; Nepali,CMC Tracy,Y,dikshya-aryal
1471,Dolores,Cardona,Dolores Cardona,ASW,Behavioral Health,English,CMC Lawrence,N,dolores-cardona
1494,Don,Smallie,Don Smallie,DC,Chiropractic,English,CMC St. Mary,Y,don-smallie
3606,Elaine,Ho,Elaine Ho,DO,Family Medicine,Cantonese; English; Mandarin,CMC Channel,Y,elaine-ho
1527,Elizabeth,Castillo,Elizabeth Castillo,NP,Family Medicine,English; Spanish,CMC Channel,Y,elizabeth-castillo
1558,Elizabeth,Simmons,Elizabeth Simmons,NP,Family Medicine,English,CMC Lodi,Y,elizabeth-simmons
1577,Erin,Garcia,Erin Garcia,RD,Nutrition,English,CMC Channel; CMC Lodi; CMC West Lane,N,erin-garcia
1524,Ernest,Almendarez,Ernest Almendarez,MD,Family Medicine,English; Spanish,CMC East March Lane - CareToday,Y,ernest-almendarez
1523,Farzana,Ali,Farzana Ali,MD,Family Medicine,English; Hindi; Urdu,CMC Lodi,Y,farzana-ali
3560,Felixberto,Tejada,Felixberto Tejada,MD,Pediatrics,English; Tagalog; Tagalog: some Spanish,CMC West Lane,Y,felixberto-tejada
1540,Gayathri,Kaushik,Gayathri Kaushik,MD,Family Medicine,English; Hindi; Spanish,CMC Tracy Grant Line,Y,gayathri-kaushik
1576,Gisella,Tay Yong,Gisella Tay Yong,MD,Internal Medicine,English; Spanish,CMC Vacaville,Y,gisella-tay-yong
3608,Gurjit,Kaur,Gurjit Kaur,MD,Internal Medicine,English; Punjabi,CMC Vacaville,Y,gurjit-kaur-md
1513,Gurmeet,Singh,Gurmeet Singh,DDS,General Dentistry,English; Hindi; Punjabi; Spanish,CMC Waterloo,N,gurmeet-singh
1512,Hailu,Mehanzel,Hailu Mehanzel,DMD,General Dentistry,English,CMC Tracy Dental,Y,hailu-mehanzel
1531,Hannah,Crowl,Hannah  Crowl,FNP,Family Medicine,English,CMC Dixon,N,hannah-crowl
1467,Hermes,Aguilar,Hermes Ivan Aguilar,ASW,Behavioral Health,English; Spanish,CMC Lodi East,Y,hermes-aguilar
1584,Hershminder,Mann,Hershminder Mann,OD,Optometry,English; French; Hindi; Punjabi,CMC Channel,Y,hershminder-mann
3562,Himaja,Kenchey,Himaja Kenchey,MD,Pediatrics,English; Hindi; Telugu,CMC Manteca,Y,himaja-kenchey
1538,Huma,Hussain,Huma  Hussain,FNP,Family Medicine,English,CMC FLOAT,N,huma-hussain
1517,Irma,Rymers,Irma Rymers,FNP,Family Medicine,English,CMC West Lane,Y,irma-rymers
3566,Jai,Autar,Jai Autar,MD,Pediatrics,English; Hindi,CMC Lodi Turner,Y,jai-autar
1479,James,Long,James Long,ASW,Behavioral Health,English,CMC Waterloo,N,james-long
1469,Jasmin,Arenal,Jasmin Arenal,ASW,Behavioral Health,English,CMC Tracy,Y,jasmin-arenal
1570,Jasmine,Ghuman,Jasmine Ghuman,MD,Internal Medicine,English,CMC Mariposa,Y,jasmine-ghuman
1568,Jerry,Chien,Jerry Chien,MD,Internal Medicine,Chinese; English,CMC Tracy Central,Y,jerry-chien
3570,John,Halloran,John Halloran,MD,Internal Medicine,English,CMC Lodi East,Y,john-halloran
3611,John,Pinches IV,John Pinches IV,MD,Family Medicine,English; Japanese,CMC Channel; CMC Manteca,Y,john-pinches-iv
1542,Joshua,Lynn,Joshua  Lynn,MD,Family Medicine,English,CMC East March Lane - CareToday,Y,joshua-lynn
3572,Juan,Lopez Solorza,Juan Lopez Solorza,MD,Family Medicine,English; Spanish,CMC Channel,Y,juan-lopez-solorza
1549,Juan,O'Meany,Juan O'Meany,PA,Family Medicine,English; Spanish,CMC West Lane,Y,juan-omeany
1595,Jussein,Mangondato,Jussein Mangondato,MD,Pediatrics,English; Spanish; Tagalog,CMC Lodi,Y,jussein-mangondato
3574,Justine Carlo,Guevarra,Justine Carlo Guevarra,MD,Family Medicine,English; Tagalog,CMC 747 Channel; CMC Channel; CMC Waterloo,Y,justine-carlo-guevarra
1559,Karen,Sprague,Karen Sprague,NP,Family Medicine,English,CMC Dixon,Y,karen-sprague
1493,Karla,Garcia Portalatin,Karla  Garcia Portalatin,DC,Chiropractic,English; Spanish,CMC Channel; CMC E. March Lane - Primary Care; CMC E. March Lane - CareToday,Y,karla-garcia-portalatin
1618,Katherine,Ketz,Katherine Ketz,NP,Women's Health,English,CMC Channel,Y,katherine-ketz
1546,Katrina,Nguyen,Katrina  Nguyen,FNP,Family Medicine,English,CMC Vacaville,Y,katrina-nguyen
1587,Katrina,Dijamco,Katrina Dijamco,NP,Pediatrics,English; Tagalog,CMC West Lane,Y,katrina-dijamco
1498,Kelly,Henriquez Esparza,Kelly Henriquez Esparza,RDH,Dental Hygiene,English,CMC Weberstown Medical,Y,kelly-henriquez-esparza
1609,Kia,Sanford,Kia  Sanford,DO,Pediatrics,English,CMC Waterloo,Y,kia-sanford
1578,KongPeng,Moua,KongPeng Moua,RD,Nutrition,English,CMC Channel,Y,kongpeng-moua
1502,Kristen,Riley,Kristen Riley,RDH,Dental Hygiene,English,CMC Weberstown Medical,N,kristen-riley
1534,Kulwinder,Deol,Kulwinder Deol,NP,Family Medicine,English; Hindi; Punjabi; Urdu,CMC Manteca,Y,kulwinder-deol
1591,Kun,Huang,Kun Huang,MD,Pediatrics,Chinese; English,CMC Tracy Central,Y,kun-huang
1564,Kwabena,Adubofour,Kwabena Adubofour,MD,Internal Medicine,English,CMC East Main,Y,kwabena-adubofour
1485,La Roy'a,Peace,La Roy'a Peace,ASW,Behavioral Health,English,CMC Waterloo,N,la-roya-peace
1510,Lais,Lodin,Lais  Lodin,DDS,General Dentistry,English,CMC Waterloo,N,lais-lodin
1480,Leihua,McMiller,Leihua  McMiller,LMFT,Behavioral Health,English,CMC Waterloo,Y,leihua-mcmiller
1507,Linh,DeLuca,Linh DeLuca,DDS,General Dentistry,English,CMC Tracy Dental,Y,linh-deluca
1520,Lori,Eanes,Lori  Eanes,DO,Family Medicine,English,CMC Dixon,N,lori-eanes
1475,Louis,Herzog,Louis Herzog,NP,Behavioral Health,English,CMC Lodi; CMC Waterloo; CMC West Lane,Y,louis-herzog
3613,Louis,Lim,Louis Lim,MD,OB/GYN,English,CMC Tracy Grant Line,N,louis-lim
1600,Luna,Sharma,Luna Sharma,MD,Pediatrics,English; Hindi; Nepali; Spanish,CMC Vacaville; CMC Vacaville Pediatrics,Y,luna-sharma
2996,Mackenzie,Dillis,Mackenzie T. Dillis,CNM,,,CMC Lodi East,Y,mackenzie-dillis
1569,Mandeep,Dhindsa,Mandeep Dhindsa,MD,Internal Medicine,English; Punjabi,CMC 747 Channel; CMC Channel,Y,mandeep-dhindsa
1497,Maria,Guzman Silva,Maria  Guzman Silva,RDH,Dental Hygiene,English; Spanish,CMC Waterloo; CMC Weberstown Medical,N,maria-guzman-silva
1539,Maria,Infante Lopez,Maria  Infante Lopez,FNP,Family Medicine,English; Tagalog,CMC West Lane,Y,maria-infante-lopez
